Beer,Brewery,Location,Style,Size,ABV,IBUs
Lost River Blonde Ale,Cutters Brewing Company,"Avon, IN",American Blonde Ale,16 oz.,4.90%,N/A
Monon Wheat,Cutters Brewing Company,"Avon, IN",Witbier,16 oz.,5.40%,N/A
Floyd's Folly,Cutters Brewing Company,"Avon, IN",Scottish Ale,16 oz.,8.00%,N/A
Half Court IPA,Cutters Brewing Company,"Avon, IN",American IPA,16 oz.,6.30%,N/A
Le Flaneur Ale,Brewery Vivant,"Grand Rapids, MI",American Wild Ale,16 oz.,7.30%,N/A
Appreciation Ale,Iron Hill Brewery & Restaurant,"Wilmington, DE",American IPA,16 oz.,???,N/A
Toughcats IPA,Marshall Wharf Brewing Company,"Belfast, ME",American IPA,16 oz.,7.20%,N/A
Kiss Off IPA,Round Guys Brewing,"Lansdale, PA",American IPA,12 oz.,6.30%,N/A
Three Way Pale Ale,Third Street Brewhouse,"Cold Spring, MN",American Pale Ale (APA),12 oz.,5.20%,N/A
Rise to the Top,Third Street Brewhouse,"Cold Spring, MN",Cream Ale,12 oz.,4.10%,N/A
Lost Trout Brown Ale,Third Street Brewhouse,"Cold Spring, MN",American Brown Ale,12 oz.,4.90%,N/A
On the Count of 3 (2015),Baxter Brewing Company,"Lewiston, ME",Hefeweizen,16 oz.,7.00%,42
2020 IPA,Golden Road Brewing,"Los Angeles, CA",American IPA,16 oz.,7.40%,74
All Nighter Ale,Banner Beer Company,"Williamsburg, MA",Extra Special / Strong Bitter (ESB),12 oz.,4.50%,N/A
Autocrat Coffee Milk Stout,Narragansett Brewing Company,"Providence, RI",Milk / Sweet Stout,16 oz.,5.30%,30
Hijack,Infamous Brewing Company,"Austin, TX",Cream Ale,12 oz.,5.50%,20
12 Man Pale Ale,Dick's Brewing Company,"Centralia, WA",American Pale Ale (APA),12 oz.,4.50%,N/A
Jacaranada Rye IPA,Claremont Craft Ales,"Claremont, CA",American IPA,16 oz.,6.70%,60
Lil SIPA,Rivertown Brewing Company,"Lockland, OH",American IPA,16 oz.,5.00%,55
Voodoo Love Child,Voodoo Brewery,"Meadville, PA",Tripel,12 oz.,9.20%,25
White Magick of the Sun,Voodoo Brewery,"Meadville, PA",Witbier,12 oz.,7.90%,23
Stone Fort Brown Ale,Seventh Son Brewing Company,"Columbus, OH",English Brown Ale,16 oz.,5.30%,20
Seventh Son Hopped Red Ale,Seventh Son Brewing Company,"Columbus, OH",American Amber / Red Ale,16 oz.,7.70%,40
Humulus Nimbus Super Pale Ale,Seventh Son Brewing Company,"Columbus, OH",American Pale Ale (APA),16 oz.,6.00%,53
Golden Ratio IPA,Seventh Son Brewing Company,"Columbus, OH",American IPA,16 oz.,7.00%,68
Rudolph's Red,Rivertowne Brewing Company,"Export, PA",American Amber / Red Ale,12 oz.,8.10%,N/A
Geary's Pale Ale,D.L. Geary Brewing Company,"Portland, ME",English Pale Ale,12 oz.,4.50%,N/A
Hemlock Double IPA,Big Choice Brewing,"Broomfield, CO",American Double / Imperial IPA,12 oz.,9.50%,104
GreyBeard™ IPA,Pisgah Brewing Company,"Black Mountain, NC",American IPA,12 oz.,6.90%,51
Pisgah Pale Ale,Pisgah Brewing Company,"Black Mountain, NC",American Pale Ale (APA),12 oz.,5.70%,31
County Line IPA,Neshaminy Creek Brewing Company,"Croydon, PA",American IPA,12 oz.,6.60%,N/A
Trauger Pilsner,Neshaminy Creek Brewing Company,"Croydon, PA",German Pilsener,12 oz.,4.80%,N/A
When Helles Freezes Over,Morgan Street Brewery,"Saint Louis, MO",Munich Helles Lager,12 oz.,5.60%,18
Juke Joint IPA,Tin Roof Brewing Company,"Baton Rouge, LA",American IPA,12 oz.,7.00%,60
Parade Ground Coffee Porter,Tin Roof Brewing Company,"Baton Rouge, LA",American Porter,12 oz.,7.00%,35
Heyoka IPA,Half Acre Beer Company,"Chicago, IL",American IPA,16 oz.,7.00%,N/A
Icey.P.A.,Oskar Blues Brewery,"Longmont, CO",American IPA,16 oz.,???,N/A
One Nut Brown,Oskar Blues Brewery,"Longmont, CO",English Brown Ale,12 oz.,5.00%,N/A
Birth IPA,Oskar Blues Brewery,"Longmont, CO",American IPA,12 oz.,???,N/A
Just IPA,The Just Beer Project,"Burlington, VT",American IPA,12 oz.,4.60%,45
Bronx Summer Pale Ale,The Bronx Brewery,"Bronx, NY",American Pale Ale (APA),16 oz.,5.20%,16
Bronx Black Pale Ale,The Bronx Brewery,"Bronx, NY",American Black Ale,16 oz.,5.70%,46
Dead Armadillo Amber Ale,Dead Armadillo Craft Brewing,"Tulsa, OK",American Amber / Red Ale,12 oz.,6.30%,37
Mississippi Fire Ant,Southern Prohibition Brewing Com...,"Hattiesburg, MS",American Amber / Red Ale,16 oz.,8.00%,80
Farmer Ted's Cream Ale,Catawba Brewing Company,"Morganton, NC",Cream Ale,12 oz.,5.60%,N/A
Firewater India Pale Ale,Catawba Brewing Company,"Morganton, NC",American IPA,12 oz.,5.20%,N/A
White Zombie Ale,Catawba Brewing Company,"Morganton, NC",Witbier,12 oz.,4.70%,N/A
A Slice of Hefen,La Cumbre Brewing Company,"Albuquerque, NM",Hefeweizen,16 oz.,5.40%,15
Le Mort Vivant,Southern Star Brewing Company,"Conroe, TX",Bière de Garde,12 oz.,6.90%,23
BLAKKR,Surly Brewing Company,"Brooklyn Center, MN",American Black Ale,16 oz.,9.90%,85
"the Kimmie, the Yink and the Holy Gose",Anderson Valley Brewing Company,"Boonville, CA",Gose,12 oz.,4.80%,N/A
California Route,New Belgium Brewing Company,"Fort Collins, CO",American Amber / Red Lager,12 oz.,5.50%,N/A
Zombie Monkie,Tallgrass Brewing Company,"Manhattan, KS",American Porter,16 oz.,6.20%,35
Sprocket Blonde Ale (2006),David's Ale Works,"Diamond Springs, CA",American Blonde Ale,12 oz.,5.00%,N/A
Sprocket Pale Ale (2006),David's Ale Works,"Diamond Springs, CA",American Pale Ale (APA),12 oz.,5.00%,N/A
805,Firestone Walker Brewing Company,"Paso Robles, CA",American Blonde Ale,12 oz.,4.70%,20
Curious Traveler Shandy,The Traveler Beer Company,"Burlington, VT",Shandy,12 oz.,4.40%,N/A
Peaches & Cream,Fearless Brewing Company,"Estacada, OR",Fruit / Vegetable Beer,16 oz.,4.60%,N/A
Wynona's Big Brown Ale,Voodoo Brewery,"Meadville, PA",American Brown Ale,12 oz.,7.50%,31
Gran Met,Voodoo Brewery,"Meadville, PA",Belgian Strong Pale Ale,12 oz.,9.20%,25
Red Cockaded Ale,Southern Star Brewing Company,"Conroe, TX",American Double / Imperial IPA,12 oz.,8.50%,110
Kilt Dropper Scotch Ale,Bonfire Brewing Company,"Eagle, CO",Scotch Ale / Wee Heavy,16 oz.,7.50%,22
Hopped on the High Seas (Hop #529),Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz.,7.00%,60
Hopped on the High Seas (Calypso),Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz.,7.00%,60
Cal and Co. Black Cherry Porter,Rochester Mills Brewing Company,"Rochester, MI",American Porter,16 oz.,???,N/A
Hop Nosh IPA,Uinta Brewing Company,"Salt Lake City, UT",American IPA,12 oz.,7.30%,83
Iron Horse Pale Ale,Fargo Brewing Company,"Fargo, ND",American Pale Ale (APA),12 oz.,5.00%,32
Heliocentric Hefeweizen,Odyssey Beerwerks,"Arvada, CO",Hefeweizen,12 oz.,4.70%,N/A
Ghose Drifter Pale Ale,Odyssey Beerwerks,"Arvada, CO",American Pale Ale (APA),12 oz.,5.10%,N/A
King Winterbolt Winter Ale,Catawba Brewing Company,"Morganton, NC",Winter Warmer,12 oz.,7.00%,N/A
Firemans #4 Blonde Ale (2013),Real Ale Brewing Company,"Blanco, TX",American Blonde Ale,12 oz.,5.10%,21
Tug Pale Ale,Marshall Wharf Brewing Company,"Belfast, ME",American Pale Ale (APA),16 oz.,5.00%,N/A
Sexy Chaos,Marshall Wharf Brewing Company,"Belfast, ME",Russian Imperial Stout,16 oz.,9.90%,N/A
Big Sky IPA,Big Sky Brewing Company,"Missoula, MT",American IPA,12 oz.,6.20%,65
Scape Goat Pale Ale,Big Sky Brewing Company,"Missoula, MT",English Pale Ale,12 oz.,5.00%,40
Montana Trout Slayer Ale,Big Sky Brewing Company,"Missoula, MT",American Pale Wheat Ale,12 oz.,5.00%,35
Moose Drool Brown Ale,Big Sky Brewing Company,"Missoula, MT",American Brown Ale,12 oz.,5.10%,26
SweetWater IPA,SweetWater Brewing Company,"Atlanta, GA",American IPA,12 oz.,6.40%,N/A
420 Extra Pale Ale,SweetWater Brewing Company,"Atlanta, GA",American Pale Ale (APA),12 oz.,5.40%,N/A
Taster's Choice,Ska Brewing Company,"Durango, CO",Doppelbock,12 oz.,7.40%,N/A
Snapshot,New Belgium Brewing Company,"Fort Collins, CO",American Pale Wheat Ale,16 oz.,5.20%,N/A
King Street Pilsner,King Street Brewing Company,"Anchorage, AK",Czech Pilsener,12 oz.,5.50%,N/A
Wick For Brains,Nebraska Brewing Company,"Papillion, NE",Pumpkin Ale,12 oz.,6.10%,11
Uncle John's Apple Cherry Cider,Uncle John's Fruit House Winery,"St. John's, MI",Cider,16 oz.,6.50%,N/A
Uncle John's Apricot Apple Cider,Uncle John's Fruit House Winery,"St. John's, MI",Cider,16 oz.,6.50%,N/A
Bourbon Barrel Aged Coconut Porter,Great Crescent Brewery,"Aurora, IN",American Porter,16 oz.,5.60%,33
Great Crescent IPA,Great Crescent Brewery,"Aurora, IN",American IPA,16 oz.,6.20%,60
Aurora Lager,Great Crescent Brewery,"Aurora, IN",Dortmunder / Export Lager,16 oz.,5.70%,27
Great Crescent Blonde Ale,Great Crescent Brewery,"Aurora, IN",American Blonde Ale,16 oz.,5.30%,22
Wolf Among Weeds IPA,Golden Road Brewing,"Los Angeles, CA",American IPA,16 oz.,8.00%,70
Be Hoppy IPA,Wormtown Brewery,"Worcester, MA",American IPA,16 oz.,6.50%,69
Hi-Res,Sixpoint Craft Ales,"Brooklyn, NY",American Double / Imperial IPA,12 oz.,9.90%,111
Wiregrass Post-Prohibition Ale,Cigar City Brewing Company,"Tampa, FL",American Pale Ale (APA),12 oz.,6.30%,N/A
Dry-Hopped On The High Seas Caribbean-Style IPA,Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz.,7.00%,60
Hopped on the High Seas (Citra),Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz.,7.00%,60
Hopped on the High Seas (Ahtanum),Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz.,7.00%,60
Stir Crazy Winter Ale,Indeed Brewing Company,"Minneapolis, MN",Winter Warmer,12 oz.,6.50%,22
Sunshine Wheat Beer,New Belgium Brewing Company,"Fort Collins, CO",American Pale Wheat Ale,12 oz.,4.80%,N/A
Snowcat Coffee Stout,Crazy Mountain Brewing Company,"Edwards, CO",American Stout,12 oz.,5.90%,N/A
American Hero,Liquid Hero Brewery,"York, PA",American Amber / Red Ale,12 oz.,5.70%,42
Schweet Ale,Liquid Hero Brewery,"York, PA",Fruit / Vegetable Beer,12 oz.,5.20%,20
Irregardless IPA,Liquid Hero Brewery,"York, PA",American IPA,12 oz.,6.50%,75
Category 3 IPA,Due South Brewing Company,"Boynton Beach, FL",American IPA,12 oz.,6.10%,64
Hula Hoppie Session IPA,Palisade Brewing Company,"Palisade, CO",American IPA,12 oz.,4.80%,N/A
Dread Brown Ale,Santa Cruz Mountain Brewing,"Santa Cruz, CA",American Brown Ale,12 oz.,5.40%,N/A
Wasatch Ghostrider White IPA (2014),Utah Brewers Cooperative,"Salt Lake City, UT",American White IPA,12 oz.,6.00%,N/A
Wasatch Apricot Hefeweizen,Utah Brewers Cooperative,"Salt Lake City, UT",Fruit / Vegetable Beer,12 oz.,4.00%,N/A
Squatters Hop Rising Double IPA (2014),Utah Brewers Cooperative,"Salt Lake City, UT",American Double / Imperial IPA,12 oz.,9.00%,75
Squatters Full Suspension Pale Ale,Utah Brewers Cooperative,"Salt Lake City, UT",American Pale Ale (APA),12 oz.,4.00%,N/A
KelSo Nut Brown Lager,KelSo Beer Company,"Brooklyn, NY",Euro Dark Lager,12 oz.,5.70%,19
The Great Return,Hardywood Park Craft Brewery,"Richmond, VA",American IPA,16 oz.,7.50%,70
Troopers Alley IPA,Wolf Hills Brewing Company,"Abingdon, VA",American IPA,12 oz.,5.90%,135
Madra Allta,Lavery Brewing Company,"Erie, PA",American IPA,12 oz.,6.40%,95
Chaotic Double IPA,Manzanita Brewing Company,"Santee, CA",American Double / Imperial IPA,12 oz.,9.90%,93
Manzanita IPA,Manzanita Brewing Company,"Santee, CA",American IPA,12 oz.,8.00%,88
Riverwalk Blonde Ale,Manzanita Brewing Company,"Santee, CA",American Blonde Ale,12 oz.,6.00%,25
Gillespie Brown Ale,Manzanita Brewing Company,"Santee, CA",American Brown Ale,12 oz.,9.50%,49
Manzanita Pale Ale,Manzanita Brewing Company,"Santee, CA",American Pale Ale (APA),12 oz.,6.60%,44
Oakshire Amber Ale,Oakshire Brewing,"Eugene, OR",American Amber / Red Ale,12 oz.,5.40%,24
Overcast Espresso Stout,Oakshire Brewing,"Eugene, OR",American Stout,12 oz.,5.80%,27
King Street IPA,King Street Brewing Company,"Anchorage, AK",American IPA,12 oz.,6.00%,70
King Street Hefeweizen,King Street Brewing Company,"Anchorage, AK",Hefeweizen,12 oz.,5.70%,10
King Street Blonde Ale,King Street Brewing Company,"Anchorage, AK",American Blonde Ale,12 oz.,4.90%,N/A
Sobek & Set,Finch's Beer Company,"Chicago, IL",American Black Ale,16 oz.,8.00%,80
Nuclear Winter,Finch's Beer Company,"Chicago, IL",Belgian Strong Dark Ale,16 oz.,8.60%,N/A
Wet Hot American Wheat Ale,Finch's Beer Company,"Chicago, IL",American Pale Wheat Ale,16 oz.,5.00%,22
Trailhead ISA,Two Beers Brewing Company,"Seattle, WA",American IPA,12 oz.,4.80%,48
Immersion Amber,Two Beers Brewing Company,"Seattle, WA",American Amber / Red Ale,12 oz.,5.20%,27
Evo IPA,Two Beers Brewing Company,"Seattle, WA",American IPA,12 oz.,6.20%,70
Cack-A-Lacky,Fullsteam Brewery,"Durham, NC",American Pale Ale (APA),12 oz.,5.00%,N/A
Leprechaun Lager,Four Horsemen Brewing Company,"South Bend, IN",American Pale Lager,12 oz.,4.00%,N/A
Wee Muckle,Sun King Brewing Company,"Indianapolis, IN",Scotch Ale / Wee Heavy,16 oz.,9.00%,30
Double Dagger Imperial IPA,Sockeye Brewing Company,"Boise, ID",American Double / Imperial IPA,12 oz.,9.20%,N/A
Hop Bomber Rye Pale Ale,Rivertown Brewing Company,"Lockland, OH",American Pale Ale (APA),16 oz.,5.50%,60
The Long Thaw White IPA,Harpoon Brewery,"Boston, MA",American White IPA,12 oz.,6.20%,45
White Cap White IPA,Hinterland Brewery,"Green Bay, WI",American White IPA,16 oz.,4.20%,N/A
Maize & Blueberry,Brewery Vivant,"Grand Rapids, MI",Fruit / Vegetable Beer,16 oz.,5.60%,N/A
Arkansas Red,Core Brewing & Distilling Company,"Springdale, AR",American Amber / Red Ale,12 oz.,5.20%,N/A
Chai Ale,Central Coast Brewing Company,"San Luis Obispo, CA",Herbed / Spiced Beer,16 oz.,5.10%,15
Lucky Day IPA,Central Coast Brewing Company,"San Luis Obispo, CA",American IPA,16 oz.,7.20%,85
Terrace Hill Double IPA,Central Coast Brewing Company,"San Luis Obispo, CA",American Double / Imperial IPA,16 oz.,9.50%,99
Catch 23,Central Coast Brewing Company,"San Luis Obispo, CA",American Black Ale,16 oz.,7.50%,77
Westfield Octoberfest,Westfield River Brewing Company,"Westfield, MA",Märzen / Oktoberfest,12 oz.,5.70%,22
Banner American Rye,Banner Beer Company,"Williamsburg, MA",Rye Beer,12 oz.,4.50%,20
Banner American Ale,Banner Beer Company,"Williamsburg, MA",American Amber / Red Ale,12 oz.,3.50%,45
Bleeding Buckeye Red Ale,Elevator Brewing Company,"Columbus, OH",Extra Special / Strong Bitter (ESB),16 oz.,5.70%,N/A
Better Weather IPA,Golden Road Brewing,"Los Angeles, CA",American IPA,16 oz.,9.40%,92
Aslan Kölsch,Aslan Brewing Company,"Bellingham, WA",Kölsch,16 oz.,4.80%,N/A
Aslan IPA,Aslan Brewing Company,"Bellingham, WA",American IPA,16 oz.,7.70%,N/A
Aslan Amber,Aslan Brewing Company,"Bellingham, WA",American Amber / Red Ale,16 oz.,7.70%,N/A
Bellingham Beer Week 2013 Collaboration,Kulshan Brewery,"Bellingham, WA",Belgian Strong Dark Ale,16 oz.,8.00%,N/A
Local 5 Pale Ale,Pikes Peak Brewing Company,"Monument, CO",American Pale Ale (APA),16 oz.,5.60%,N/A
Kilt Lifter Scottish-Style Ale,Four Peaks Brewing Company,"Tempe, AZ",,12 oz.,6.00%,21
Alley Time,Spiteful Brewing Company,"Chicago, IL",American Pale Ale (APA),12 oz.,6.00%,N/A
Fat Badger,Spiteful Brewing Company,"Chicago, IL",Irish Red Ale,12 oz.,5.80%,N/A
In the Weeds,Spiteful Brewing Company,"Chicago, IL",American Pale Wheat Ale,12 oz.,5.50%,N/A
Brontide,Stillwater Artisanal Ales,"Baltimore, MD",American Black Ale,12 oz.,5.00%,N/A
Night Cat (2014),Two Brothers Brewing Company,"Warrenville, IL",American Dark Wheat Ale,12 oz.,5.80%,43
Rebel IPA,Boston Beer Company,"Boston, MA",American IPA,16 oz.,6.50%,45
Festivus (1),Manayunk Brewing Company,"Philadelphia, PA",Winter Warmer,12 oz.,7.20%,N/A
Cleveland Beer Week 2013,Buckeye Brewing,"Cleveland, OH",Munich Helles Lager,16 oz.,5.30%,N/A
Manayunk Oktoberfest,Manayunk Brewing Company,"Philadelphia, PA",Märzen / Oktoberfest,12 oz.,6.70%,N/A
Belgian Style Session Ale,Manayunk Brewing Company,"Philadelphia, PA",Belgian Pale Ale,12 oz.,4.50%,21
Manayunk IPA,Manayunk Brewing Company,"Philadelphia, PA",American IPA,12 oz.,5.50%,N/A
Lift Off IPA,Daredevil Brewing Company,"Shelbyville, IN",American IPA,16 oz.,7.20%,N/A
Jam Session,NoDa Brewing Company,"Charlotte, NC",American Pale Ale (APA),16 oz.,5.10%,31
Hop Drop 'N Roll IPA,NoDa Brewing Company,"Charlotte, NC",American IPA,16 oz.,7.20%,80
Pumpkin Beast,Aviator Brewing Company,"Fuquay-Varina, NC",Pumpkin Ale,12 oz.,6.20%,17
Hop Slayer Double IPA,Wild Onion Brewing Company,"Lake Barrington, IL",American Double / Imperial IPA,12 oz.,8.20%,100
Pumpkin Ale,Wild Onion Brewing Company,"Lake Barrington, IL",Pumpkin Ale,12 oz.,4.50%,N/A
Morgan Street Oktoberfest,Morgan Street Brewery,"Saint Louis, MO",Märzen / Oktoberfest,12 oz.,4.90%,24
Pumpkin Porter,Four Peaks Brewing Company,"Tempe, AZ",American Porter,12 oz.,5.10%,N/A
The 12th Can™,Hilliard's Beer,"Seattle, WA",American Pale Ale (APA),16 oz.,4.50%,32
Wood Splitter Pilsner,Bonfire Brewing Company,"Eagle, CO",Czech Pilsener,16 oz.,4.80%,30
Gyptoberfest,Bonfire Brewing Company,"Eagle, CO",Märzen / Oktoberfest,12 oz.,5.60%,26
Keeper (Current),Mikkeller,"Pottstown, PA",American Pilsner,12 oz.,5.00%,N/A
Better Half,Mikkeller,"Pottstown, PA",American IPA,12 oz.,6.80%,N/A
Half Cycle IPA,Flat 12 Bierwerks,"Indianapolis, IN",American IPA,16 oz.,6.00%,104
Initial Point India Pale Ale,Slanted Rock Brewing Company,"Meridian, ID",American IPA,12 oz.,7.10%,92
Global Warmer,Sixpoint Craft Ales,"Brooklyn, NY",American Strong Ale,12 oz.,7.00%,70
Bohemian Export Lager,Bohemian Brewery,"Midvale, UT",Dortmunder / Export Lager,12 oz.,6.00%,N/A
Snow King Pale Ale,Snake River Brewing Company,"Jackson, WY",American Pale Ale (APA),12 oz.,6.00%,55
Festeroo Winter Ale,Hop Valley Brewing Company,"Springfield, OR",American Strong Ale,12 oz.,7.80%,60
Chickawawa Lemonale,Great River Brewery,"Davenport, IA",Fruit / Vegetable Beer,12 oz.,5.00%,5
Good Vibes IPA,Voodoo Brewery,"Meadville, PA",American IPA,12 oz.,7.30%,85
Bear Butte Nut Brown Ale,Crow Peak Brewing Company,"Spearfish, SD",American Brown Ale,12 oz.,5.50%,N/A
Cold Snap,Boston Beer Company,"Boston, MA",Witbier,12 oz.,5.50%,N/A
Yunkin' Punkin',Manayunk Brewing Company,"Philadelphia, PA",Pumpkin Ale,12 oz.,5.50%,N/A
Royal Brat,Sun King Brewing Company,"Indianapolis, IN",Extra Special / Strong Bitter (ESB),16 oz.,6.50%,55
Mustang Sixty-Six,Mustang Brewing Company,"Mustang, OK",American Amber / Red Lager,12 oz.,5.00%,N/A
Altus Bohemes Altbier,Bohemian Brewery,"Midvale, UT",Altbier,12 oz.,5.30%,N/A
Dagger Falls IPA,Sockeye Brewing Company,"Boise, ID",American IPA,12 oz.,6.30%,100
Dagger Falls IPA,Sockeye Brewing Company,"Boise, ID",American IPA,12 oz.,6.30%,100
Maylani's Coconut Stout,Airways Brewing Company,"Kent, WA",American Stout,16 oz.,5.30%,35
He Said Baltic-Style Porter,21st Amendment Brewery,"San Francisco, CA",Baltic Porter,12 oz.,8.20%,N/A
He Said Belgian-Style Tripel,21st Amendment Brewery,"San Francisco, CA",Tripel,12 oz.,8.20%,N/A
Autumnation (2013),Sixpoint Craft Ales,"Brooklyn, NY",American IPA,16 oz.,6.70%,74
Pumpkin Patch Ale,Eddyline Brewery & Restaurant,"Buena Vista, CO",Pumpkin Ale,16 oz.,5.00%,N/A
PONTO S.I.P.A.,Pizza Port Brewing Company,"Carlsbad, CA",American IPA,16 oz.,4.50%,N/A
Sly Fox Christmas Ale 2013,Sly Fox Brewing Company,"Pottstown, PA",Winter Warmer,12 oz.,5.50%,16
Seven Gates Pale Ale,Spring House Brewing Company,"Conestoga, PA",American Pale Ale (APA),12 oz.,5.60%,N/A
Fat Tire Amber Ale,New Belgium Brewing Company,"Fort Collins, CO",American Amber / Red Ale,12 oz.,5.20%,18
Four Peaks Peach Ale,Four Peaks Brewing Company,"Tempe, AZ",Fruit / Vegetable Beer,12 oz.,4.20%,9
Scruffy's Smoked Alt,Cedar Creek Brewery,"Seven Points, TX",Smoked Beer,16 oz.,5.10%,35
Wolfman's Berliner,7venth Sun,"Dunedin, FL",Berliner Weissbier,12 oz.,3.80%,N/A
Irish Channel Stout,New Orleans Lager & Ale Brewing ...,"New Orleans, LA",American Stout,16 oz.,6.80%,N/A
Hammer & Sickle,Renegade Brewing Company,"Denver, CO",Russian Imperial Stout,12 oz.,9.00%,60
Trolley Stop Stout,Astoria Brewing Company,"Astoria, OR",American Stout,12 oz.,5.70%,40
OktoberBeast,Aviator Brewing Company,"Fuquay-Varina, NC",Märzen / Oktoberfest,12 oz.,7.20%,22
Lahaina Town Brown,Maui Brewing Company,"Lahaina, HI",American Brown Ale,12 oz.,5.10%,20
12th Round,RoughTail Brewing Company,"Midwest City, OK",American Strong Ale,16 oz.,7.60%,78
RoughTail IPA,RoughTail Brewing Company,"Midwest City, OK",American IPA,16 oz.,7.00%,80
Polar Night Stout,RoughTail Brewing Company,"Midwest City, OK",American Stout,16 oz.,8.00%,N/A
Barrel Aged Farmer,Great River Brewery,"Davenport, IA",American Brown Ale,16 oz.,7.00%,22
Plum St. Porter,Bozeman Brewing Company,"Bozeman, MT",American Porter,12 oz.,5.70%,52
KelSo India Pale Ale,KelSo Beer Company,"Brooklyn, NY",American IPA,12 oz.,6.00%,64
Slow Hand Stout,Lucette Brewing Company,"Menominee, WI",American Stout,16 oz.,5.20%,29
Lemon Shandy Tripel,Griffin Claw Brewing Company,"Birmingham, MI",Tripel,16 oz.,9.00%,N/A
Mad Manatee IPA,Bold City Brewery,"Jacksonville, FL",American IPA,12 oz.,6.50%,N/A
Killer Whale Cream Ale,Bold City Brewery,"Jacksonville, FL",Cream Ale,12 oz.,5.50%,N/A
Autumn Winds,Grey Sail Brewing of Rhode Island,"Westerly, RI",Märzen / Oktoberfest,16 oz.,5.80%,N/A
Next Adventure Black IPA,Fort George Brewery,"Astoria, OR",American Black Ale,16 oz.,6.20%,N/A
Centennial IPA,Founders Brewing Company,"Grand Rapids, MI",American IPA,12 oz.,7.20%,65
1800 Big Log Wheat (2012),Blue Blood Brewing Company,"Lincoln, NE",American Pale Wheat Ale,12 oz.,5.00%,N/A
Fall Hornin',Anderson Valley Brewing Company,"Boonville, CA",Pumpkin Ale,12 oz.,6.00%,N/A
Grandma's Pecan,The Dudes' Brewing Company,"Torrance, CA",English Brown Ale,16 oz.,6.90%,34
Double Trunk,The Dudes' Brewing Company,"Torrance, CA",American Double / Imperial IPA,16 oz.,9.90%,101
Mother in Lager,Karbach Brewing Company,"Houston, TX",Munich Dunkel Lager,12 oz.,5.80%,25
Honey Cider,Harpoon Brewery,"Boston, MA",Cider,12 oz.,4.80%,N/A
